bucket,topic,month,interest
sci_math,Chaos theory,200502,18
sci_math,Chaos theory,200503,31
sci_math,Chaos theory,200504,100
sci_math,Chaos theory,200505,47
sci_math,Chaos theory,200506,34
sci_math,Chaos theory,200507,32
sci_math,Chaos theory,200508,26
sci_math,Chaos theory,200509,22
sci_math,Chaos theory,200510,22
sci_math,Chaos theory,200511,21
sci_math,Chaos theory,200512,24
sci_math,Chaos theory,200601,21
sci_math,Chaos theory,200602,19
sci_math,Chaos theory,200603,16
sci_math,Chaos theory,200604,16
sci_math,Chaos theory,200605,16
sci_math,Chaos theory,200606,19
sci_math,Chaos theory,200607,16
sci_math,Chaos theory,200608,15
sci_math,Chaos theory,200609,13
sci_math,Chaos theory,200610,15
sci_math,Chaos theory,200611,13
sci_math,Chaos theory,200612,13
sci_math,Chaos theory,200701,11
sci_math,Chaos theory,200702,10
sci_math,Chaos theory,200703,9
sci_math,Chaos theory,200704,9
sci_math,Chaos theory,200705,9
sci_math,Chaos theory,200706,9
sci_math,Chaos theory,200707,9
sci_math,Chaos theory,200708,8
sci_math,Chaos theory,200709,7
sci_math,Chaos theory,200710,7
sci_math,Chaos theory,200711,7
sci_math,Chaos theory,200712,8
sci_math,Chaos theory,200801,7
sci_math,Chaos theory,200802,7
sci_math,Chaos theory,200803,8
sci_math,Chaos theory,200804,8
sci_math,Chaos theory,200805,7
sci_math,Chaos theory,200806,18
sci_math,Chaos theory,200807,10
sci_math,Chaos theory,200808,9
sci_math,Chaos theory,200809,7
sci_math,Chaos theory,200810,7
sci_math,Chaos theory,200811,6
sci_math,Chaos theory,200812,8
sci_math,Chaos theory,200901,6
sci_math,Chaos theory,200902,6
sci_math,Chaos theory,200903,6
sci_math,Chaos theory,200904,6
sci_math,Chaos theory,200905,6
sci_math,Chaos theory,200906,6
sci_math,Chaos theory,200907,6
sci_math,Chaos theory,200908,7
sci_math,Chaos theory,200909,6
sci_math,Chaos theory,200910,5
sci_math,Chaos theory,200911,5
sci_math,Chaos theory,200912,6
sci_math,Chaos theory,201001,7
sci_math,Chaos theory,201002,7
sci_math,Chaos theory,201003,5
sci_math,Chaos theory,201004,6
sci_math,Chaos theory,201005,6
sci_math,Chaos theory,201006,5
sci_math,Chaos theory,201007,5
sci_math,Chaos theory,201008,4
sci_math,Chaos theory,201009,4
sci_math,Chaos theory,201010,4
sci_math,Chaos theory,201011,4
sci_math,Chaos theory,201012,4
sci_math,Chaos theory,201101,5
sci_math,Chaos theory,201102,4
sci_math,Chaos theory,201103,4
sci_math,Chaos theory,201104,5
sci_math,Chaos theory,201105,4
sci_math,Chaos theory,201106,4
sci_math,Chaos theory,201107,4
sci_math,Chaos theory,201108,4
sci_math,Chaos theory,201109,3
sci_math,Chaos theory,201110,4
sci_math,Chaos theory,201111,3
sci_math,Chaos theory,201112,4
sci_math,Chaos theory,201201,4
sci_math,Chaos theory,201202,3
sci_math,Chaos theory,201203,3
sci_math,Chaos theory,201204,3
sci_math,Chaos theory,201205,3
sci_math,Chaos theory,201206,3
sci_math,Chaos theory,201207,3
sci_math,Chaos theory,201208,3
sci_math,Chaos theory,201209,3
sci_math,Chaos theory,201210,3
sci_math,Chaos theory,201211,3
sci_math,Chaos theory,201212,3
sci_math,Chaos theory,201301,2
sci_math,Chaos theory,201302,3
sci_math,Chaos theory,201303,3
sci_math,Chaos theory,201304,3
sci_math,Chaos theory,201305,3
sci_math,Chaos theory,201306,2
sci_math,Chaos theory,201307,3
sci_math,Chaos theory,201308,3
sci_math,Chaos theory,201309,3
sci_math,Chaos theory,201310,2
sci_math,Chaos theory,201311,2
sci_math,Chaos theory,201312,2
sci_math,Chaos theory,201401,2
sci_math,Chaos theory,201402,3
sci_math,Chaos theory,201403,2
sci_math,Chaos theory,201404,2
sci_math,Chaos theory,201405,2
sci_math,Chaos theory,201406,2
sci_math,Chaos theory,201407,2
sci_math,Chaos theory,201408,2
sci_math,Chaos theory,201409,2
sci_math,Chaos theory,201410,2
sci_math,Chaos theory,201411,2
sci_math,Chaos theory,201412,2
sci_math,Chaos theory,201501,2
sci_math,Chaos theory,201502,2
sci_math,Chaos theory,201503,2
sci_math,Chaos theory,201504,2
sci_math,Chaos theory,201505,2
sci_math,Chaos theory,201506,2
sci_math,Chaos theory,201507,2
sci_math,Chaos theory,201508,2
sci_math,Chaos theory,201509,2
sci_math,Chaos theory,201510,2
sci_math,Chaos theory,201511,2
sci_math,Chaos theory,201512,2
sci_math,Chaos theory,201601,2
sci_math,Chaos theory,201602,2
sci_math,Chaos theory,201603,2
sci_math,Chaos theory,201604,2
sci_math,Chaos theory,201605,2
sci_math,Chaos theory,201606,2
sci_math,Chaos theory,201607,1
sci_math,Chaos theory,201608,1
sci_math,Chaos theory,201609,2
sci_math,Chaos theory,201610,1
sci_math,Chaos theory,201611,2
sci_math,Chaos theory,201612,2
sci_math,Chaos theory,201701,1
sci_math,Chaos theory,201702,1
sci_math,Chaos theory,201703,2
sci_math,Chaos theory,201704,2
sci_math,Chaos theory,201705,1
sci_math,Chaos theory,201706,1
sci_math,Chaos theory,201707,1
sci_math,Chaos theory,201708,1
sci_math,Chaos theory,201709,1
sci_math,Chaos theory,201710,1
sci_math,Chaos theory,201711,1
sci_math,Chaos theory,201712,1
sci_math,Chaos theory,201801,2
sci_math,Chaos theory,201802,1
sci_math,Chaos theory,201803,1
sci_math,Chaos theory,201804,1
sci_math,Chaos theory,201805,1
sci_math,Chaos theory,201806,1
sci_math,Chaos theory,201807,1
sci_math,Chaos theory,201808,1
sci_math,Chaos theory,201809,1
sci_math,Chaos theory,201810,1
sci_math,Chaos theory,201811,1
sci_math,Chaos theory,201812,1
sci_math,Chaos theory,201901,1
sci_math,Chaos theory,201902,1
sci_math,Chaos theory,201903,1
sci_math,Chaos theory,201904,1
sci_math,Chaos theory,201905,1
sci_math,Chaos theory,201906,1
sci_math,Chaos theory,201907,1
sci_math,Chaos theory,201908,1
sci_math,Chaos theory,201909,1
sci_math,Chaos theory,201910,1
sci_math,Chaos theory,201911,1
sci_math,Chaos theory,201912,1
sci_math,Chaos theory,202001,1
sci_math,Chaos theory,202002,1
sci_math,Chaos theory,202003,1
sci_math,Chaos theory,202004,2
sci_math,Chaos theory,202005,1
sci_math,Chaos theory,202006,1
sci_math,Chaos theory,202007,1
sci_math,Chaos theory,202008,1
sci_math,Chaos theory,202009,1
sci_math,Chaos theory,202010,1
sci_math,Chaos theory,202011,1
sci_math,Chaos theory,202012,1
sci_math,Chaos theory,202101,1
sci_math,Chaos theory,202102,1
sci_math,Chaos theory,202103,3
sci_math,Chaos theory,202104,1
sci_math,Chaos theory,202105,1
sci_math,Chaos theory,202106,1
sci_math,Chaos theory,202107,1
sci_math,Chaos theory,202108,1
sci_math,Chaos theory,202109,1
sci_math,Chaos theory,202110,1
sci_math,Chaos theory,202111,2
sci_math,Chaos theory,202112,1
sci_math,Chaos theory,202201,1
sci_math,Chaos theory,202202,1
sci_math,Chaos theory,202203,1
sci_math,Chaos theory,202204,1
sci_math,Chaos theory,202205,1
sci_math,Chaos theory,202206,1
sci_math,Chaos theory,202207,1
sci_math,Chaos theory,202208,1
sci_math,Chaos theory,202209,1
sci_math,Chaos theory,202210,1
sci_math,Chaos theory,202211,1
sci_math,Chaos theory,202212,1
sci_math,Chaos theory,202301,1
sci_math,Chaos theory,202302,1
sci_math,Chaos theory,202303,1
sci_math,Chaos theory,202304,1
sci_math,Chaos theory,202305,1
sci_math,Chaos theory,202306,1
sci_math,Chaos theory,202307,1
sci_math,Chaos theory,202308,1
sci_math,Chaos theory,202309,1
sci_math,Chaos theory,202310,1
sci_math,Chaos theory,202311,1
sci_math,Chaos theory,202312,1
sci_math,Chaos theory,202401,1
sci_math,Chaos theory,202402,1
sci_math,Chaos theory,202403,1
sci_math,Chaos theory,202404,2
sci_math,Chaos theory,202405,8
sci_math,Chaos theory,202406,6
sci_math,Chaos theory,202407,3
sci_math,Chaos theory,202408,2
sci_math,Chaos theory,202409,2
sci_math,Chaos theory,202410,6
sci_math,Chaos theory,202411,3
sci_math,Chaos theory,202412,3
sci_math,Chaos theory,202501,3
sci_math,Chaos theory,202502,3
sci_math,Chaos theory,202503,4
sci_math,Chaos theory,202504,6
sci_math,Chaos theory,202505,2
sci_math,Chaos theory,202506,2
sci_math,Chaos theory,202507,3
sci_math,Chaos theory,202508,3
sci_math,Chaos theory,202509,2
sci_math,Chaos theory,202510,3
sci_math,Chaos theory,202511,5
sci_math,Chaos theory,202512,3
sci_math,Chaos theory,202601,2
